country,year,status,life_expectancy,adult_mortality,measles,under_five_deaths,polio,diphtheria,hiv_aids,gdp_per_capita,thinness_1_19_years,thinness_5_9_years,income_composition_of_resources,schooling,continent
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2013,Developing,59.9,268.0,430,89,62.0,64.0,0.1,631.744976,17.7,17.7,0.47,9.9,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2012,Developing,59.5,272.0,2787,93,67.0,67.0,0.1,669.959,17.9,18.0,0.463,9.8,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2010,Developing,58.8,279.0,1989,102,66.0,66.0,0.1,553.32894,18.4,18.4,0.448,9.2,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2009,Developing,58.6,281.0,2861,106,63.0,63.0,0.1,445.8932979,18.6,18.7,0.434,8.9,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2008,Developing,58.1,287.0,1599,110,64.0,64.0,0.1,373.3611163,18.8,18.9,0.433,8.7,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2007,Developing,57.5,295.0,1141,113,63.0,63.0,0.1,369.835796,19.0,19.1,0.415,8.4,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2006,Developing,57.3,295.0,1990,116,58.0,58.0,0.1,272.56377,19.2,19.3,0.405,8.1,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2004,Developing,57.0,293.0,466,120,5.0,5.0,0.1,219.1413528,19.5,19.7,0.381,6.8,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2003,Developing,56.7,295.0,798,122,41.0,41.0,0.1,198.7285436,19.7,19.9,0.373,6.5,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2002,Developing,56.2,3.0,2486,122,36.0,36.0,0.1,187.84595,19.9,2.2,0.341,6.2,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2001,Developing,55.3,316.0,8762,122,35.0,33.0,0.1,117.49698,2.1,2.4,0.34,5.9,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Afghanistan,2000,Developing,54.8,321.0,6532,122,24.0,24.0,0.1,114.56,2.3,2.5,0.338,5.5,Asia
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2015,Developing,77.8,74.0,0,0,99.0,99.0,0.1,3954.22783,1.2,1.3,0.762,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2014,Developing,77.5,8.0,0,1,98.0,98.0,0.1,4575.763787,1.2,1.3,0.761,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2013,Developing,77.2,84.0,0,1,99.0,99.0,0.1,4414.72314,1.3,1.4,0.759,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2012,Developing,76.9,86.0,9,1,99.0,99.0,0.1,4247.61438,1.3,1.4,0.752,14.2,Europe
Albania,2011,Developing,76.6,88.0,28,1,99.0,99.0,0.1,4437.17868,1.4,1.5,0.738,13.3,Europe
Albania,2011,Developing,76.6,88.0,28,1,99.0,99.0,0.1,4437.17868,1.4,1.5,0.738,13.3,Europe
