original_title,release_date
Big Trouble in Little China,5/30/86
Un Plan parfait,10/29/12
Warrior,9/9/11
Michael Collins,10/25/96
Gettysburg,10/8/93
Stop-Loss,3/28/08
Abandon,10/14/02
Brokedown Palace,8/13/99
The Possession,8/30/12
Mrs. Winterbourne,4/19/96
Straw Dogs,9/16/11
The Hoax,10/14/06
Stone Cold,5/17/91
The Road,11/25/09
Sheena,8/17/84
Underclassman,9/2/05
Say It Isn't So,3/12/01
The World's Fastest Indian,10/12/05
Tank Girl,3/31/95
King's Ransom,4/22/05
Blindness,5/14/08
BloodRayne,10/22/05
Carnage,9/16/11
Where the Truth Lies,10/7/05
Cirque du Soleil: Worlds Away,11/9/12
Without Limits,9/11/98
Me and Orson Welles,11/25/09
La migliore offerta,1/1/13
The Bad Lieutenant: Port of Call - New Orleans,9/11/09
Sammy's avonturen: De geheime doorgang,8/3/10
Les petits mouchoirs,10/20/10
Love Ranch,6/30/10
La véritable histoire du Chat Botté,4/1/09
The Counselor,10/25/13
Ironclad,3/3/11
Waterloo,10/26/70
Red Sky,3/12/14
Dangerous Liaisons,12/16/88
On the Road,5/22/12
Star Trek IV: The Voyage Home,11/25/86
Rocky Balboa,12/20/06
Scream 2,12/9/97
Jane Got a Gun,1/1/16
Think Like a Man Too,6/20/14
The Whole Nine Yards,2/18/00
Footloose,2/17/84
Old School,2/21/03
The Fisher King,9/9/91
I Still Know What You Did Last Summer,11/13/98
Return to Me,4/7/00
Zack and Miri Make a Porno,9/18/08
Nurse Betty,9/8/00
The Men Who Stare at Goats,10/17/09
Double Take,1/12/01
"Girl, Interrupted",12/21/99
Win a Date with Tad Hamilton!,1/23/04
Muppets from Space,7/14/99
The Wiz,10/24/78
Ready to Rumble,4/7/00
Play It to the Bone,12/25/99
I Don't Know How She Does It,9/16/11
Piranha 3D,8/20/10
Beyond the Sea,12/17/04
Meet the Deedles,3/27/98
The Thief and the Cobbler,9/23/93
The Bridge of San Luis Rey,1/1/04
Faster,11/23/10
Zombieland,10/7/09
The Waterboy,11/6/98
The Empire Strikes Back,5/17/80
Bad Boys,4/7/95
The Naked Gun 2½: The Smell of Fear,6/28/91
Final Destination,3/16/00
The Ides of March,9/24/11
Pitch Black,2/18/00
Someone Like You...,3/30/01
Her,12/18/13
Joy Ride,10/5/01
The Adventurer: The Curse of the Midas Box,12/5/13
Anywhere But Here,11/12/99
The Crew,8/21/00
Haywire,11/6/11
Jaws: The Revenge,7/17/87
Marvin's Room,12/18/96
The Longshots,8/22/08
The End of the Affair,12/3/99
Harley Davidson and the Marlboro Man,8/23/91
In the Valley of Elah,8/31/07
Coco avant Chanel,4/22/09
Forsaken,9/16/15
Chéri,2/10/09
Vanity Fair,9/1/04
1408,7/12/07
Spaceballs,6/24/87
The Water Diviner,12/25/14
Ghost,7/12/90
There's Something About Mary,7/15/98
The Santa Clause,11/10/94
The Rookie,3/25/02
The Game Plan,9/28/07
The Bridges of Madison County,5/28/95
The Animal,6/1/01
Gandhi,11/30/82
The Hundred-Foot Journey,8/6/14
The Net,7/28/95
I Am Sam,12/28/01
Son of God,2/28/14
Underworld,9/19/03
Derailed,11/11/05
The Informant!,9/18/09
Shadowlands,12/25/93
Deuce Bigalow: European Gigolo,8/6/05
Delivery Man,10/10/13
Our Kind of Traitor,5/5/16
Saving Silverman,2/9/01
Diary of a Wimpy Kid: Dog Days,8/2/12
Summer of Sam,7/2/99
Jay and Silent Bob Strike Back,8/22/01
The Glass House,9/14/01
"Hail, Caesar!",2/5/16
Josie and the Pussycats,4/6/01
Homefront,11/27/13
The Little Vampire,10/27/00
I Heart Huckabees,9/10/04
RoboCop 3,4/17/93
Megiddo: The Omega Code 2,9/7/01
Darling Lili,1/1/70
Dudley Do-Right,8/27/99
The Transporter Refueled,9/3/15
The Libertine,9/16/04
Zwartboek,9/1/06
Joyeux Noël,11/9/05
Hit & Run,8/22/12
Mad Money,1/17/08
Before I Go to Sleep,9/3/14
Sorcerer,6/24/77
Stone,10/7/10
Molière,1/31/07
Out of the Furnace,12/6/13
Michael Clayton,9/28/07
My Fellow Americans,12/20/96
Arlington Road,3/19/99
Metegol,7/18/13
To Rome with Love,4/20/12
Firefox,6/13/82
"South Park: Bigger, Longer & Uncut",6/30/99
Death at a Funeral,2/9/07
Teenage Mutant Ninja Turtles III,3/17/93
Hardball,9/14/01
Silver Linings Playbook,9/8/12
Freedom Writers,1/5/07
For Colored Girls,11/5/10
The Transporter,10/2/02
Never Back Down,3/4/08
The Rage: Carrie 2,3/11/99
Away We Go,6/5/09
Swing Vote,8/1/08
Moonlight Mile,9/9/02
Tinker Tailor Soldier Spy,9/16/11
Molly,10/22/99
The Beaver,2/11/11
The Best Little Whorehouse in Texas,7/23/82
eXistenZ,4/14/99
Raiders of the Lost Ark,6/12/81
Home Alone 2: Lost in New York,11/19/92
Close Encounters of the Third Kind,11/16/77
Pulse,8/11/06
Beverly Hills Cop II,5/18/87
Bringing Down the House,3/7/03
The Silence of the Lambs,2/1/91
Wayne's World,2/14/92
Jackass 3D,10/15/10
Jaws 2,6/16/78
Beverly Hills Chihuahua,10/3/08
The Conjuring,7/18/13
Are We There Yet?,1/20/05
Tammy,7/2/14
School of Rock,10/3/03
Mortal Kombat,8/18/95
White Chicks,6/23/04
The Descendants,9/9/11
Holes,4/18/03
The Last Song,3/31/10
12 Years a Slave,10/18/13
Drumline,12/13/02
Why Did I Get Married Too?,4/2/10
Edward Scissorhands,12/5/90
Me Before You,6/2/16
Madea's Witness Protection,6/29/12
The French Connection,10/9/71
Bad Moms,7/28/16
Date Movie,2/17/06
Return to Never Land,2/14/02
Selma,12/25/14
The Jungle Book 2,2/7/03
Boogeyman,2/4/05
Premonition,2/8/07
The Tigger Movie,2/11/00
Orphan,7/24/09
Max,6/26/15
Epic Movie,1/25/07
Spotlight,11/6/15
Lakeview Terrace,9/19/08
The Grudge 2,10/13/06
How Stella Got Her Groove Back,8/14/98
Bill & Ted's Bogus Journey,7/19/91
Man of the Year,10/9/06
The Black Hole,12/18/79
The American,8/31/10
Selena,3/21/97
Vampires Suck,8/18/10
Babel,9/8/06
This Is Where I Leave You,9/10/14
Doubt,11/27/08
Team America: World Police,10/10/04
Texas Chainsaw 3D,1/3/13
Copycat,10/27/95
Scary Movie 5,4/11/13
Paint Your Wagon,10/15/69
Milk,11/26/08
Risen,2/19/16
Ghost Ship,10/25/02
A Very Harold & Kumar Christmas,11/4/11
Wild Things,3/20/98
The Stepfather,10/16/09
The Debt,4/11/10
High Fidelity,3/17/00
One Missed Call,1/4/08
Eye for an Eye,1/12/96
The Bank Job,2/28/08
Eternal Sunshine of the Spotless Mind,3/19/04
You Again,9/24/10
Street Kings,4/10/08
The World's End,7/18/13
Nancy Drew,6/15/07
Daybreakers,1/6/09
She's Out of My League,3/11/10
Monte Carlo,7/1/11
Stay Alive,3/24/06
Quigley Down Under,10/17/90
Alpha and Omega,9/17/10
The Covenant,9/8/06
Stick It,4/21/06
Shorts,8/21/09
To Die For,5/20/95
Nerve,7/27/16
Appaloosa,9/12/08
Vampires,4/15/98
Psycho,6/16/60
My Best Friend's Girl,9/19/08
Endless Love,2/12/14
Georgia Rule,5/11/07
Under the Rainbow,7/31/81
Ladyhawke,3/27/85
Simon Birch,9/11/98
Reign Over Me,3/23/07
Into the Wild,9/11/07
School for Scoundrels,9/29/06
Silent Hill: Revelation 3D,10/10/12
From Dusk Till Dawn,1/19/96
Pooh's Heffalump Movie,2/11/05
Home for the Holidays,11/2/95
The Country Bears,7/26/02
The Kite Runner,10/14/07
21 Grams,9/6/03
Paparazzi,9/3/04
A Guy Thing,1/17/03
Loser,7/21/00
Capitalism: A Love Story,9/6/09
The Greatest Story Ever Told,2/15/65
Secret in Their Eyes,10/14/15
Disaster Movie,8/29/08
Armored,12/4/09
The Man Who Knew Too Little,11/14/97
What's Your Number?,9/30/11
Lockout,4/12/12
Envy,4/30/04
Crank: High Voltage,4/16/09
Bullets Over Broadway,10/14/94
One Night with the King,10/13/06
The Quiet American,11/22/02
The Weather Man,10/20/05
Undisputed,8/23/02
Ghost Town,9/19/08
12 Rounds,3/19/09
Let Me In,10/1/10
3 Ninjas Kick Back,5/6/94
Be Kind Rewind,1/20/08
Mrs Henderson Presents,9/9/05
Triple 9,2/19/16
Deconstructing Harry,8/26/97
Three to Tango,10/22/99
Burnt,10/2/15
We're No Angels,12/15/89
Everyone Says I Love You,12/6/96
Death Sentence,8/31/07
Everybody's Fine,12/4/09
Superbabies: Baby Geniuses 2,8/27/04
The Man,9/8/05
Code Name: The Cleaner,1/5/07
Connie and Carla,4/16/04
Sweet Charity,1/1/69
Inherent Vice,12/25/14
Doogal,2/24/06
Battle of the Year,9/21/13
An American Carol,10/3/08
Machete Kills,9/12/13
Willard,3/14/03
Strange Wilderness,2/1/08
Topsy-Turvy,9/3/99
Little Boy,4/23/15
A Dangerous Method,9/30/11
A Scanner Darkly,5/25/06
Chasing Mavericks,10/25/12
Alone in the Dark,1/28/05
Bandslam,8/6/09
Birth,9/8/04
A Most Violent Year,12/30/14
Passchendaele,10/17/08
Flash of Genius,9/7/08
I'm Not There.,10/1/07
The Cold Light of Day,4/4/12
The Brothers Bloom,9/9/08
"Synecdoche, New York",10/24/08
Bon voyage,4/16/03
Can't Stop the Music,6/20/80
The Proposition,10/6/05
My All American,11/13/15
Marci X,8/22/03
Equilibrium,12/6/02
The Yards,4/27/00
The Oogieloves in the Big Balloon Adventure,8/29/12
By the Sea,11/12/15
Steamboy,7/17/04
The Game of Their Lives,1/1/05
All Good Things,12/3/10
Rapa Nui,9/9/94
Les Visiteurs 2 : Les Couloirs du temps,2/11/98
Dylan Dog: Dead of Night,3/16/11
People I Know,11/21/02
The Tempest,12/10/10
Regression,10/1/15
Butterfly on a Wheel,7/27/07
Zambezia,6/5/12
Dwegons,1/24/14
Hands of Stone,8/26/16
Survivor,5/21/15
The Frozen Ground,7/18/13
The Painted Veil,12/9/06
Der Baader Meinhof Komplex,9/24/08
Dances with Wolves,11/9/90
Bad Teacher,5/16/11
Sea of Love,9/15/89
A Cinderella Story,7/10/04
Scream,12/20/96
Thir13en Ghosts,10/26/01
The Shining,5/22/80
Back to the Future,7/3/85
House on Haunted Hill,10/29/99
I Can Do Bad All By Myself,9/11/09
Fight Valley,7/22/16
The Switch,5/11/10
Just Married,1/9/03
The Devil's Double,2/11/11
Thomas and the Magic Railroad,7/26/00
The Crazies,2/26/10
The Bounty,5/4/84
The Book Thief,11/8/13
Sex Drive,10/16/08
Leap Year,1/8/10
The Fall of the Roman Empire,3/24/64
Take Me Home Tonight,3/4/11
Won't Back Down,9/28/12
The Nutcracker,11/24/93
Kansas City,8/16/96
Indignation,7/29/16
The Amityville Horror,4/15/05
Adaptation.,12/6/02
Land of the Dead,6/24/05
逃出生天,3/10/13
Fear and Loathing in Las Vegas,5/22/98
The Invention of Lying,9/13/09
Neighbors,5/8/14
The Mask,7/29/94
Big,6/3/88
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,11/1/06
Legally Blonde,7/13/01
Star Trek III: The Search for Spock,5/31/84
The Exorcism of Emily Rose,9/9/05
Deuce Bigalow: Male Gigolo,12/10/99
Left Behind,10/3/14
The Family Stone,12/14/05
Barbershop 2:  Back in Business,1/20/04
Bad Santa,11/26/03
Austin Powers: International Man of Mystery,5/2/97
My Big Fat Greek Wedding 2,3/23/16
Diary of a Wimpy Kid: Rodrick Rules,3/25/11
Predator,6/11/87
Amadeus,10/26/84
Prom Night,4/10/08
Mean Girls,4/30/04
Under the Tuscan Sun,4/30/03
Gosford Park,11/7/01
Peggy Sue Got Married,10/5/86
Birdman,8/27/14
Blue Jasmine,7/25/13
United 93,4/28/06
Honey,11/24/03
Spy Hard,5/24/96
The Fog,2/8/80
Soul Surfer,4/8/11
Catch-22,6/24/70
Observe and Report,4/10/09
Conan the Destroyer,6/29/84
Raging Bull,11/14/80
Love Happens,9/18/09
Young Sherlock Holmes,12/4/85
Fame,1/1/09
127 Hours,11/5/10
Small Time Crooks,5/19/00
Center Stage,5/12/00
Love the Coopers,11/12/15
Catch That Kid,2/6/04
Life as a House,10/25/01
Steve Jobs,10/9/15
"I Love You, Beth Cooper",7/10/09
Youth in Revolt,9/11/09
The Legend of the Lone Ranger,8/20/81
The Tailor of Panama,2/11/01
Blow Out,7/24/81
Getaway,8/29/13
The Ice Storm,9/27/97
And So It Goes,7/20/14
Troop Beverly Hills,3/22/89
Being Julia,9/3/04
Nine 1/2 Weeks,2/14/86
Dragonslayer,6/26/81
The Last Station,9/4/09
Ed Wood,9/27/94
Labor Day,12/27/13
RockNRolla,9/4/08
Megaforce,6/25/82
Hamlet,12/25/96
Mao's Last Dancer,10/1/09
Midnight Special,2/18/16
Anything Else,8/27/03
The Railway Man,12/26/13
Das weisse Band,5/21/09
Restoration,5/3/16
The Wraith,11/21/86
Salton Sea,1/1/02
Metallica: Through the Never,9/25/13
The Informers,11/5/08
Carlos,5/19/10
I Come with the Rain,5/14/09
One Man's Hero,8/2/99
Day of the Dead,7/19/85
I Am Wrath,4/14/16
Renaissance,3/16/06
Red Sonja,4/9/85
Red Lights,3/2/12
Superbad,8/17/07
Madea Goes to Jail,2/16/09
Wolves,8/28/14
Step Up 2: The Streets,2/14/08
Hoodwinked!,12/16/05
Hotel Rwanda,9/11/04
Hitman,11/21/07
Black Nativity,11/27/13
The Prince,8/22/14
City of Ghosts,1/1/02
The Others,8/2/01
Aliens,7/18/86
My Fair Lady,10/21/64
I Know What You Did Last Summer,10/17/97
Let's Be Cops,8/13/14
Sideways,10/22/04
Beerfest,8/25/06
Halloween,10/25/78
Good Boy!,10/10/03
The Best Man Holiday,11/15/13
Smokin' Aces,12/9/06
Saw 3D,10/21/10
40 Days and 40 Nights,3/1/02
A Night at the Roxbury,10/1/98
Beastly,1/21/11
The Hills Have Eyes,3/10/06
Dickie Roberts: Former Child Star,9/5/03
"McFarland, USA",2/20/15
Lottery Ticket,8/20/10
ATL,3/31/06
Pitch Perfect,9/28/12
Summer Catch,8/22/01
A Simple Plan,12/11/98
They,11/1/02
Larry the Cable Guy: Health Inspector,3/24/06
The Adventures of Elmo in Grouchland,10/1/99
Brooklyn's Finest,1/16/09
55 Days at Peking,5/6/63
Evil Dead,4/5/13
My Life in Ruins,2/6/09
American Dreamz,3/4/06
Superman IV: The Quest for Peace,7/23/87
How She Move,1/25/08
Running Scared,1/6/06
Bobby Jones: Stroke of Genius,4/30/04
Shanghai Surprise,8/29/86
The Illusionist,8/18/06
Roar,11/12/81
Veronica Guerin,7/11/03
Escobar: Paradise Lost,10/11/14
Southland Tales,5/15/06
Chasseurs de dragons,3/19/08
Damnation Alley,9/10/77
The Apparition,8/23/12
My Girl,11/27/91
Fur: An Imaginary Portrait of Diane Arbus,8/30/06
Wall Street,12/10/87
Sense and Sensibility,12/13/95
Becoming Jane,3/2/07
Sydney White,9/21/07
House of Sand and Fog,12/19/03
Dead Poets Society,6/2/89
Dumb and Dumber,12/16/94
When Harry Met Sally...,7/21/89
The Verdict,12/8/82
Road Trip,5/19/00
Varsity Blues,1/15/99
The Artist,5/15/11
The Unborn,1/9/09
Moonrise Kingdom,5/16/12
The Texas Chainsaw Massacre: The Beginning,10/6/06
The Young Messiah,3/10/16
The Master of Disguise,8/2/02
El laberinto del fauno,5/27/06
See Spot Run,3/2/01
Baby Boy,6/27/01
The Roommate,2/4/11
Joe Dirt,4/10/01
Double Impact,8/10/91
Hot Fuzz,2/14/07
The Women,9/12/08
Vicky Cristina Barcelona,8/15/08
Arn: Tempelriddaren,12/17/07
Boys and Girls,6/16/00
White Oleander,10/11/02
Jennifer's Body,9/18/09
Drowning Mona,3/3/00
Radio Days,1/30/87
Remember Me,3/12/10
How to Deal,7/18/03
My Stepmother is an Alien,12/9/88
Philadelphia,12/22/93
The Thirteenth Floor,4/16/99
The Cookout,9/3/04
Meteor,10/19/79
Duets,9/9/00
Hollywood Ending,5/3/02
Detroit Rock City,8/13/99
Highlander,3/7/86
Things We Lost in the Fire,9/26/07
Steel,8/15/97
The Immigrant,7/3/13
The White Countess,10/30/05
Trance,3/27/13
Soul Plane,5/28/04
Bienvenue chez les ch'tis,1/9/08
Good,12/11/08
Enter the Void,5/5/09
Vamps,8/25/12
Hachi: A Dog's Tale,6/13/09
Zulu,12/4/13
The Homesman,5/18/14
Juwanna Mann,6/21/02
Ararat,5/20/02
Madison,1/23/01
Slow Burn,9/12/05
Wasabi,10/31/01
Slither,3/31/06
Beverly Hills Cop,11/29/84
Home Alone,11/9/90
Three Men and a Baby,11/27/87
Tootsie,12/16/82
Top Gun,5/16/86
卧虎藏龙,10/1/00
American Beauty,9/15/99
The King's Speech,9/6/10
Twins,12/9/88
The Yellow Handkerchief,12/17/08
The Color Purple,12/18/85
해운대,6/6/09
The Imitation Game,11/14/14
Private Benjamin,10/6/80
Coal Miner's Daughter,3/7/80
Diary of a Wimpy Kid,3/19/10
Mama,1/17/13
National Lampoon's Vacation,7/28/83
Jackass Presents: Bad Grandpa,10/22/13
The Queen,9/15/06
Beetlejuice,2/29/88
Why Did I Get Married?,10/12/07
Little Women,12/21/94
The Woman in Black,2/1/12
When a Stranger Calls,2/3/06
Big Fat Liar,2/8/02
The Deer Hunter,12/8/78
Wag the Dog,12/25/97
The Lizzie McGuire Movie,4/25/03
Snitch,2/21/13
Krampus,11/26/15
The Faculty,12/25/98
What's Love Got to Do with It,6/9/93
Cop Land,8/15/97
Not Another Teen Movie,12/7/01
End of Watch,9/20/12
The Skulls,3/31/00
The Theory of Everything,11/26/14
Malibu's Most Wanted,4/10/03
Where the Heart Is,4/27/00
Lawrence of Arabia,12/10/62
Halloween II,8/28/09
Wild,12/5/14
The Last House on the Left,3/13/09
The Wedding Date,2/4/05
Halloween: Resurrection,7/1/02
The Princess Bride,9/18/87
The Great Debaters,12/27/07
Drive,8/6/11
Confessions of a Teenage Drama Queen,2/17/04
The Object of My Affection,4/17/98
28 Weeks Later,4/26/07
When the Game Stands Tall,8/22/14
Because of Winn-Dixie,2/18/05
Love & Basketball,4/21/00
Grosse Pointe Blank,4/11/97
All About Steve,9/4/09
Book of Shadows: Blair Witch 2,10/27/00
The Craft,5/3/96
Match Point,10/26/05
Ramona and Beezus,7/23/10
The Remains of the Day,11/5/93
Boogie Nights,9/11/97
Nowhere to Run,1/15/93
Flicka,10/20/06
The Hills Have Eyes II,3/22/07
Urban Legends: Final Cut,9/19/00
Tuck Everlasting,10/11/02
The Marine,10/13/06
Keanu,4/21/16
Country Strong,12/22/10
Disturbing Behavior,7/24/98
The Place Beyond the Pines,3/20/13
The November Man,8/27/14
Eye of the Beholder,9/4/99
The Hurt Locker,10/10/08
Firestarter,5/11/84
Killing Them Softly,9/20/12
A Most Wanted Man,7/25/14
Freddy Got Fingered,4/18/01
VeggieTales: The Pirates Who Don't Do Anything,1/11/08
U2 3D,5/19/07
Highlander: Endgame,9/1/00
Idlewild,8/25/06
One Day,3/2/11
Whip It,9/13/09
Knockaround Guys,9/7/01
Confidence,4/25/03
The Muse,8/27/99
De-Lovely,7/2/04
New York Stories,3/10/89
Barney's Great Adventure,1/1/98
The Man with the Iron Fists,11/2/12
Home Fries,11/25/98
Here On Earth,3/23/00
Brazil,2/20/85
Raise Your Voice,8/10/04
The Big Lebowski,3/6/98
Black Snake Moan,12/8/06
Dark Blue,12/14/02
A Mighty Heart,1/1/07
Whatever It Takes,3/31/00
Boat Trip,10/1/02
The Importance of Being Earnest,5/17/02
The Love Letter,2/1/98
Hoot,5/5/06
In Bruges,2/8/08
Peeples,5/9/13
The Rocker,8/20/08
Post Grad,8/21/09
Promised Land,9/23/12
Whatever Works,6/19/09
The In Crowd,7/19/00
The Three Burials of Melquiades Estrada,11/17/05
Jakob the Liar,9/16/99
Kiss Kiss Bang Bang,9/5/05
Idle Hands,4/30/99
Mulholland Drive,5/16/01
Blood and Chocolate,1/26/07
You Will Meet a Tall Dark Stranger,5/23/10
Never Let Me Go,9/15/10
The Company,8/5/07
Transsiberian,1/18/08
The Clan of the Cave Bear,1/17/86
Crazy in Alabama,10/22/99
Funny Games,10/20/07
Listening,9/11/15
Felicia's Journey,11/24/99
Metropolis,1/10/27
Banlieue 13,11/9/04
Things to Do in Denver When You're Dead,12/1/95
刺客聶隱娘,8/27/15
Buffalo Soldiers,9/8/01
Ong Bak 2,12/4/08
Centurion,2/15/10
Silent Trigger,6/26/96
The Midnight Meat Train,8/7/08
Winnie Mandela,9/16/11
The Son of No One,11/4/11
All The Queen's Men,10/14/01
The Good Night,1/25/07
Bathory,7/4/08
Khumba,7/18/13
Autómata,10/9/14
Dungeons & Dragons: Wrath of the Dragon God,1/1/05
Chiamatemi Francesco - Il Papa della gente,12/3/15
新宿事件,3/22/09
Pandaemonium,6/29/01
Groundhog Day,2/11/93
Magic Mike XXL,7/1/15
Romeo + Juliet,10/31/96
Elle s'appelait Sarah,9/16/10
Freedom,8/21/14
Unforgiven,8/7/92
Manderlay,5/16/05
Slumdog Millionaire,5/12/08
Fatal Attraction,9/11/87
Pretty Woman,3/23/90
Crocodile Dundee II,5/19/88
Broken Horses,3/15/15
Born on the Fourth of July,12/20/89
Cool Runnings,9/30/93
My Bloody Valentine,1/16/09
Stomp the Yard,5/16/07
The Spy Who Loved Me,7/7/77
Urban Legend,9/25/98
Good Deeds,2/23/12
White Fang,1/18/91
Superstar,10/8/99
The Iron Lady,12/30/11
Jonah: A VeggieTales Movie,10/4/02
Poetic Justice,7/23/93
All About the Benjamins,3/8/02
Vampire in Brooklyn,10/27/95
Exorcist II: The Heretic,6/17/77
An American Haunting,5/5/05
My Boss's Daughter,8/21/03
A Perfect Getaway,6/8/09
Our Family Wedding,3/12/10
Dead Man on Campus,8/21/98
Tea with Mussolini,3/25/99
Thinner,10/25/96
"New York, New York",6/21/77
Crooklyn,5/13/94
I Think I Love My Wife,3/16/07
Jason X,7/24/01
Bobby,9/5/06
Head Over Heels,2/2/01
Fun Size,10/25/12
Le scaphandre et le papillon,5/22/07
Little Children,10/6/06
Gossip,4/21/00
A Walk on the Moon,1/29/99
Catch a Fire,10/27/06
Soul Survivors,9/6/01
Jefferson in Paris,3/31/95
Easy Virtue,1/1/08
Caravans,11/2/78
Mr. Turner,10/31/14
Les herbes folles,5/20/09
Amen.,2/13/02
剑雨,9/1/10
The Lucky Ones,9/26/08
Margaret,9/30/11
Stan Helsing,10/27/09
Flipped,8/6/10
Brokeback Mountain,9/2/05
Clueless,7/19/95
Far from Heaven,9/1/02
Hot Tub Time Machine 2,2/20/15
Quills,11/22/00
Seven Psychopaths,9/7/12
The Caveman's Valentine,1/19/01
Der Untergang,9/8/04
Mar adentro,9/3/04
Under the Skin,3/14/14
"Good Morning, Vietnam",12/23/87
The Last Godfather,12/29/10
Justin Bieber: Never Say Never,2/11/11
Black Swan,12/2/10
The Godfather: Part II,12/20/74
Save the Last Dance,1/12/01
A Nightmare on Elm Street 4: The Dream Master,8/19/88
Miracles from Heaven,3/17/16
"Dude, Where’s My Car?",12/15/00
Young Guns,8/12/88
St. Vincent,10/9/14
About Last Night,2/14/14
10 Things I Hate About You,3/30/99
The New Guy,5/10/02
National Lampoon's Loaded Weapon 1,2/4/93
The Shallows,6/24/16
The Butterfly Effect,1/22/04
Snow Day,2/11/00
This Christmas,11/27/07
Baby Geniuses,3/12/99
The Big Hit,4/24/98
Harriet the Spy,7/10/96
Child's Play 2,11/9/90
No Good Deed,9/10/14
The Mist,11/21/07
Ex Machina,1/21/15
Being John Malkovich,9/30/99
Two Can Play That Game,9/7/01
Earth to Echo,6/14/14
Crazy/Beautiful,6/29/01
Letters from Iwo Jima,12/19/06
The Astronaut Farmer,10/15/06
Woo,5/8/98
Room,10/16/15
Dirty Work,6/12/98
Serial Mom,4/13/94
Dick,8/4/99
Light It Up,11/4/99
54,8/28/98
Bubble Boy,8/24/01
Birthday Girl,9/6/01
21 & Over,3/1/13
"Paris, je t'aime",5/16/06
Resurrecting the Champ,6/14/07
Admission,3/21/13
La veuve de Saint-Pierre,1/1/00
Chloe,3/25/09
Faithful,4/3/96
Find Me Guilty,3/16/06
The Perks of Being a Wallflower,9/20/12
Excessive Force,5/14/93
Infamous,11/16/06
The Claim,12/29/00
The Vatican Tapes,7/24/15
Attack the Block,5/12/11
In the Land of Blood and Honey,12/23/11
The Call,3/14/13
인천상륙작전,7/27/16
The Crocodile Hunter: Collision Course,7/26/02
I Love You Phillip Morris,1/18/09
La Guerre du feu,12/15/81
Antwone Fisher,12/19/02
The Emperor's Club,11/22/02
True Romance,9/9/93
Womb,7/15/10
Glengarry Glen Ross,9/15/92
The Killer Inside Me,2/19/10
Cat People,4/2/82
Sorority Row,9/9/09
The Prisoner of Zenda,9/3/37
Lars and the Real Girl,10/12/07
The Boy in the Striped Pyjamas,5/7/08
Dancer in the Dark,5/17/00
Oscar and Lucinda,12/31/97
The Funeral,1/26/96
Solitary Man,9/7/09
Machete,9/1/10
Casino Jack,9/16/10
The Land Before Time,11/18/88
태극기 휘날리며,2/5/04
The Perfect Game,4/1/10
The Exorcist,12/26/73
Jaws,6/18/75
American Pie,7/9/99
Ernest et Célestine,12/12/12
The Golden Child,12/12/86
Think Like a Man,4/16/12
Barbershop,4/1/02
Star Trek II: The Wrath of Khan,6/3/82
Ace Ventura: Pet Detective,2/4/94
WarGames,6/3/83
Witness,2/8/85
Act of Valor,2/24/12
Step Up,8/11/06
Beavis and Butt-Head Do America,12/15/96
Jackie Brown,12/24/97
Harold & Kumar Escape from Guantanamo Bay,4/25/08
Chronicle,2/1/12
Yentl,11/18/83
Time Bandits,7/13/81
Crossroads,2/15/02
Project X,3/1/12
Patton,1/25/70
One Hour Photo,8/21/02
Quarantine,10/10/08
The Eye,2/1/08
Johnson Family Vacation,4/7/04
How High,12/21/01
The Muppet Christmas Carol,12/10/92
Frida,8/29/02
Katy Perry: Part of Me,6/28/12
The Fault in Our Stars,5/16/14
Rounders,9/11/98
Top Five,12/12/14
Prophecy,1/1/79
Stir of Echoes,9/10/99
Philomena,11/1/13
The Upside of Anger,1/23/05
The Boys from Brazil,10/5/78
Aquamarine,3/3/06
Paper Towns,6/18/15
My Baby's Daddy,1/9/04
Nebraska,9/21/13
Tales from the Crypt: Demon Knight,1/13/95
Max Keeble's Big Move,10/5/01
Young Adult,12/16/11
Crank,8/31/06
How to Be a Player,8/6/97
Living Out Loud,10/30/98
Just Wright,5/14/10
Rachel Getting Married,10/3/08
The Postman Always Rings Twice,3/20/81
Girl with a Pearl Earring,8/31/03
Das Boot,9/16/81
Sorority Boys,3/22/02
About Time,8/16/13
十面埋伏,5/19/04
Arbitrage,9/14/12
Project Almanac,1/30/15
Cadillac Records,12/5/08
Screwed,5/12/00
Fortress,9/30/92
For Your Consideration,11/22/06
Celebrity,9/7/98
Running with Scissors,10/27/06
From Justin to Kelly,6/20/03
Girl 6,3/22/96
In the Cut,9/9/03
Two Lovers,11/19/08
Last Orders,9/10/01
괴물,7/27/06
The Pursuit of D.B. Cooper,11/13/81
Ravenous,3/16/99
Charlie Bartlett,2/22/08
La grande bellezza,5/21/13
The Dangerous Lives of Altar Boys,6/14/02
Stoker,2/28/13
2046,5/20/04
Married Life,9/12/07
Duma,4/22/05
Ondine,9/14/09
Brother,9/9/00
Welcome to Collinwood,5/24/02
Critical Care,10/31/97
The Life Before Her Eyes,9/8/07
Darling Companion,4/20/12
Trade,1/23/07
Sorstalanság,2/10/05
Breakfast of Champions,2/13/99
Cypher,10/1/02
南京!南京!,4/22/09
兔侠传奇,1/1/11
Space Battleship Yamato,12/1/10
5 Days of War,4/14/11
Triangle,10/16/09
10 Days in a Madhouse,11/20/15
Heaven is for Real,4/16/14
Snatch,9/1/00
Dancin' It's On,10/16/15
